Latitude,Longitude,Title
46.4768747,22.7541473,Arieseni
45.44273707,25.58889896,Azuga
47.661522,23.6956528,Baia-Sprie
46.3502813,25.4733735,Băile Homorod
46.1556322,25.8707339,Băile Tușnad
46.5359435,23.3098931,Băișoara 
45.6047439,24.6171756,Balea
46.9782008,25.5768737,Borsec
45.5063162,25.3771276,Bran
46.6214577,25.2529056,Bucin Bogdan
45.40875485,25.52545935,Busteni
47.5739973,25.1220047,Cârlibaba
47.6556097,23.8305144,Cavnic
46.6477977,25.4977335,Ciumani
46.9991351,25.9228709,Durău
46.7164627,23.6426579,Feleacu
46.5205046,25.9547377,Ghimeș
46.4398896,25.5808765,Harghita Mădăraș
46.3850211,25.6367916,Harghita-Băi
47.5958182,23.8648696,Izvoare Maramureș
46.6639837,23.0765074,Mărișel-Copcea
45.35900215,22.46341199,Muntele Mic
45.65281576,23.93208236,Păltiniș
45.38427393,23.47183675,Petroșani
47.2399378,25.008284,Piatra Fântânele
46.9300107,26.3728684,Piatra Neamț
46.3716809,25.6828785,Piricske
45.59575,25.55325,Poiana Brașov
45.50502,25.57406,Predeal
45.2924825,23.6869594,Rânca
45.35065991,25.53474516,Sinaia
46.6418775,25.1565261,Sovata
46.6903587,22.6185228,Stâna de Vale
45.3209576,23.2365024,Straja
45.8967954,25.7063337,Șugaș Băi
47.65524,23.82794,Suior Maramures
46.3795431,25.8313849,Șumuleu-Ciuc
45.5688577,23.5028826,Sureanu
46.9049385,25.3312283,Toplița
45.4174179,23.7064529,Transalpina-Voineasa
45.22384,22.0289477,Văliug
47.3473348,25.3553132,Vatra Dornei
45.6339422,25.4151022,Vulcan
