Latitude,Longitude,Statiune,Partii,Cazare,Imagine
46.4768747,22.7541473,Arieșeni,"Vartop 1(lp: 1000m, da: 2400m);Vartop 2(lp: 430m, da: 100); Piatra Grăitoare(lp: 500m, da: 110m)",https://travelminit.com/ro/cazare/partie-de-schi-arieseni,https://img.directbooking.ro/getimage.ashx?f=Statiuni&file=Statiune_2300_Arieseniarieseni4.jpg.jpg
45.44273707,25.58889896,Azuga,"Cazacu(lp: 2200m, da: 530m);Cazacu Bretea(lp: 5330m, da: 650m);Cazacu Variantă(lp: 400m, da: 115m);La Stâna(lp: 910m, da: 155m);Sorica(lp: 2100m, da: 560m);Sorica Sud(lp: 7700m, da: 150m)",https://travelminit.com/ro/cazare/partie-de-schi-azuga,https://www.picomartravel.ro/cache/1/d/4/9/5/1d4959ef83fd03831c9c50686ffe2176a8e8d721.jpeg
47.661522,23.6956528,Baia Sprie,"Șuior 1(lp: 1500m, da: 306m);Șuior 2(lp: 1200m, da: 306m)",https://travelminit.com/ro/cazare/partie-de-schi-baia-sprie,https://pe-harta.ro/obiectiveturistice/wp-content/uploads/2012/12/Partia-de-ski-Suior.jpg
46.3502813,25.4733735,Băile Homorod,"Lobogo(lp: 400m, da: 60m)",https://travelminit.com/ro/cazare/partie-de-schi-baile-homorod,https://img0.oastatic.com/img2/44319286/max/ski-slope-baile-homorod.jpg
46.1556322,25.8707339,Băile Tușnad,"Băile Tușnad(lp: 500m, da: 100m)",https://travelminit.com/ro/cazare/partie-de-schi-baile-tusnad,http://www.bailetusnad.ro/wp-content/uploads/2018/01/IMG_0916.jpg
46.5359435,23.3098931,Băișoara,"Pârtia Mare(lp: 1200m, da: 250m);Slalom(lp: 300m, da: 30m)",https://travelminit.com/ro/cazare/partie-de-schi-baisoara,https://www.ski-in-romania.com/imgs/gallery/0000014.jpg
45.6047439,24.6171756,Bâlea,Bâlea Cascadă(lp: 1400m);Bâlea Cascadă Pilonul 2(lp: 3800m),https://travelminit.com/ro/cazare/partie-de-schi-balea,https://media.dcnews.ro/image/201712/w670/schi_43765000.jpg
47.6308945,24.7407681,Borșa,"Brădeț(lp: 200m, da: 30m);Pârtia Olimpică(lp: 2980m, da: 650m);Poiana Știol(lp: 1600m, da: 70m);Puzdrele(lp: 1000m, da: 80m);Sub Telescaun(lp: 1980m, da: 495m);Vârf Știol(lp: 500m, da: 40m)",https://travelminit.com/ro/cazare/partie-de-schi-borsa,https://calatoresc.ro/wp-content/uploads/2013/12/ski-Borsa.jpg
46.9782008,25.5768737,Borsec,"Prichindel(lp: 810m, da: 139m);Speranța(lp: 680m, da: 142m);Verofeny(lp: 726m, da: 141m)",https://travelminit.com/ro/cazare/partie-de-schi-borsec,http://www.schiborsec.ro/image/menu/1299839239.jpg
45.5063162,25.3771276,Bran,Bran 1(lp: 700m);Bran 2(lp:700m),https://travelminit.com/ro/cazare/partie-de-schi-bran,https://www.maridor.ro/shared/img/agrement/29/01_slider2.jpg
46.6214577,25.2529056,Bucin Bogdan,"Bodan(lp: 1300m, da: 100m)",https://travelminit.com/ro/cazare/partie-de-schi-bucin-bogdan,http://www.schi-bogdan.ro/wp-content/uploads/2015/01/bogdan-sipalya1.jpg
45.40875485,25.52545935,Bușteni,"Babele-Peștera(lp: 3000m, 600m);Boncu(lp: 1600m, da:600m);Cabana Babele(lp: 400m, da: 250m);Cabana Omu(lp: 1500m, da: 500m);Costilă-Coman(lp: 400m, da: 250m);Gura Diham(lp: 4000m);Kalinderu(lp: 1300m, da:300m);Piatra Arsă(lp:300m, da: 60=m);Silva(lp:400m, da: 50mm);Valea Gaură(lp:800m, da: 200m)",https://travelminit.com/ro/cazare/partie-de-schi-busteni,https://vilaradu.ro/wp-content/uploads/2016/01/partia-kalinderu-busteni.jpg
47.5739973,25.1220047,Cârlibaba,"Măgura 1(lp: 1000m, da: 207m);Măgura 2(lp: 530m, da: 125m)",https://travelminit.com/ro/cazare/partie-de-schi-carlibaba,https://www.trecator.ro/wp-content/uploads/2015/11/Partia-de-ski-Carlibaba.jpg
47.6556097,23.8305144,Cavnic,"Icoana 3(lp: 150m);Icoana 4(lp: 120m);La Icoana 1(lp: 700m, da: 215m);La Icoana 2(lp: 700m, da: 210m);Rainer 1 - Roata 3(lp: 800m, da: 190m);Rainer 2 - Roata 4(lp: 1000m, da: 140m);Roata 1(lp: 920m, da: 140m);Roata 2(lp:1030m, da: 330m)",https://travelminit.com/ro/cazare/partie-de-schi-cavnic,https://hanulteilor.ro/wp-content/uploads/2020/02/P%C3%A2rtia-de-Ski-Cavnic.jpg
46.6477977,25.4977335,Ciumani,"Veresvirag(lp: 2000m, da: 198m)",https://travelminit.com/ro/cazare/partie-de-schi-ciumani,https://www.freecam.ro/freecam/locations/partie-schi-ciumani.png
46.9991351,25.9228709,Durău,"Durău(lp: 450m, da: 35m)",https://travelminit.com/ro/cazare/partie-de-schi-durau,https://www.duraupark.ro/wp-content/uploads/2020/01/81605071_1599722026833622_4482633989328207872_o_1599722020166956-1024x683.jpg
46.7164627,23.6426579,Feleacu,"Feleacu(lp: 765m, da: 98m)",https://travelminit.com/ro/cazare/partie-de-schi-feleacu,https://dej24.ro/wp-content/uploads/2016/12/partie-schi-ski-Feleacu-munte.jpg
46.4398896,25.5808765,Harghita Mădăraș,"Sugo Baby(lp: 200, da:20m);Sugo(lp: 750m, da:120m);Kicsi Mihaly(lp: 300m, da: 80m);Nagy Mihaly(lp: 700m, da: 210m);Csillagosveny(lp: 600m, da: 80m);Hadak utja(lp: 400m, da: 20m);Csutakos Extrem(lp: 650m, da:150m)",https://travelminit.com/ro/cazare/partie-de-schi-harghita-madaras,https://hargitaoutdoor.com/wp-content/uploads/2019/09/familytour_04-1024x683.jpg
46.3850211,25.6367916,Harghita-Băi,"Csipike(lp: 3000, da:35m);Kossuth(lp: 700m, da:175m);Kossuth 2(lp: 800m);Kossuth 3(lp: 1000m);Miklos(lp: 450m, da: 50m);Ozon(lp: 300m, da: 27m);Tofalvi(lp: 200m)",https://travelminit.com/ro/cazare/partie-de-schi-harghita-bai,https://img.directbooking.ro/getimage.ashx?f=Obiective&w=440&file=b32c6841-2b92-4308-bdf8-5d258cd5e03d_harghita-bai-partie-2.jpg
47.5958182,23.8648696,Izvoare Maramureș,"Brazi(lp: 250m, da: 35m);Cora(lp: 730m, da: 125m);Izvoare 1(lp: 730m);Izvoare 2(lp: 500m);Poiana Soarelui(lp: 365m, da: 50m);Mogoșa(lp: 2200m, da: 535m)",https://travelminit.com/ro/cazare/partie-de-schi-izvoare-maramures,https://pe-harta.ro/obiectiveturistice/wp-content/uploads/2012/12/Partia-de-ski-Cora-Izvoare-Maramures.jpg
46.6639837,23.0765074,Mărișel-Copcea,Albastru(lp: 1600m);Roșu(lp: 1500m);Negru(lp: 1300m);Codrii Vlasinului(lp: 980m da: 180m),https://travelminit.com/ro/cazare/partie-de-schi-marisel-copcea,https://img.bunadimineata.ro/uploads/2015/12/partia-marisel-lesu.jpg
45.35900215,22.46341199,Muntele Mic,"Pârtia Nordică, Căldare(lp: 1200m, da: 260m);Sub Teleschi(lp: 3300m, da: 700m);Valea Soarelui(lp: 760m, da: 180m)",https://travelminit.com/ro/cazare/partie-de-schi-muntele-mic,https://ski-outdoor.ro/ski/wp-content/uploads/sites/2/2019/01/m1.jpg
45.65281576,23.93208236,Păltiniș,Oncești;Arena Paltoș Păltiniș,https://travelminit.com/ro/cazare/partie-de-schi-paltinis,https://arenaplatos.ro/typo3temp/pics/21ed971246.jpg
45.38427393,23.47183675,Petroșani,"Parâng(lp: 600m, da: 205m);Poiana Mare(lp: 800m);Spre Saivane(lp: 900m, da: 250m);Sub Telescaun(lp: 2500m, da: 610m);Sub Telescaun 2(lp: 360m, da: 100m)",https://travelminit.com/ro/cazare/partie-de-schi-petrosani,https://pe-harta.ro/obiectiveturistice/wp-content/uploads/2012/12/Partia-de-Ski-Parang1.jpg
47.2399378,25.008284,Piatra Fântânele,Tihuța 1(lp: 380m);Tihuța 2 (lp: 800m);Tihuța 3 (lp: 300m),https://travelminit.com/ro/cazare/partie-de-schi-piatra-fantanele,https://pe-harta.ro/obiectiveturistice/wp-content/uploads/2012/12/Statiunea-Piatra-Fantanele.jpg
46.9300107,26.3728684,Piatra Neamț,"Cozla (lp: 2200m, da: 270m)",https://travelminit.com/ro/cazare/partie-de-schi-piatra-neamt,https://www.centruturistic.ro/media/images/attraction_images/original/Piatra_Neamt-Partia_de_ski_Cozla_1.jpeg
46.3716809,25.6828785,Piricske,"Piricske (lp: 300m, da: 54m)",https://travelminit.com/ro/cazare/partia-de-schi-piricske,https://www.freecam.ro/freecam/locations/partia-de-schi-piricske.jpg
45.59575,25.55325,Poiana Brașov,"Bradul(lp: 500m, da: 80m);Drumul Rosu (lp: 5330m, da: 650m);Kanzel(lp: 310m, da: 110m);Lupului (lp: 2620m, da: 765m);Ruia (lp: 550m, da: 200m);Slalom(lp: 300m, da: 30m);Stadion(lp: 550m, da: 200m);Subteleferic (lp: 2860m, da: 640m)",https://travelminit.ro/ro/cazare/partie-de-schi-poiana-brasov,https://img.directbooking.ro/getimage.ashx?f=statiuni&w=300&file=Statiune_37_Poiana%20Brasovpoiana-brasov-iarna_0.jpg.jpg
